	gc	code	CV	creation_dt	irrig_type	is_Perenial	irrigated
973	0	1208	0.04491	60	0	0	0
974	311882	1	0	0	0	0	0
975	0	1208	0.1724	60	0	0	0
976	325792	0	0	0	0	0	0
977	325793	0	0	0	0	0	0
978	326718	0	0	0	0	0	0
979	326719	0	0	0	0	0	0
980	327643	0	0	0	0	0	0
981	327644	0	0	0	0	0	0
982	327645	0	0	0	0	0	0
983	327646	0	0	0	0	0	0
984	318363	0	0	0	0	0	0
985	318364	0	0	0	0	0	0
986	319290	0	0	0	0	0	0
987	319291	0	0	0	0	0	0
988	319292	0	0	0	0	0	0
989	319293	0	0	0	0	0	0
990	320219	0	0	0	0	0	0
991	320220	0	0	0	0	0	0
992	320221	0	0	0	0	0	0
993	320222	0	0	0	0	0	0
994	320223	0	0	0	0	0	0
995	320224	0	0	0	0	0	0
996	320225	0	0	0	0	0	0
997	320226	0	0	0	0	0	0
998	321146	0	0	0	0	0	0
999	321147	0	0	0	0	0	0
1000	321148	0	0	0	0	0	0
1001	321149	0	0	0	0	0	0
1002	321150	0	0	0	0	0	0
1003	321151	0	0	0	0	0	0
1004	321152	0	0	0	0	0	0
1005	321153	0	0	0	0	0	0
1006	321154	0	0	0	0	0	0
1007	321155	0	0	0	0	0	0
1008	321156	3	0	0	0	0	0
1009	0	1208	0.02468	60	37	0	1
1010	0	1401	0.08554	1	43	1	1
1011	0	1206	0.04211	60	23	0	1
1012	321157	4	0	0	0	0	0
1013	0	1401	0.24535	1	43	1	1
1014	0	1206	0.18121	60	23	0	1
1015	0	703	0.05355	60	37	0	1
1016	0	1409	0.03409	1	43	1	1
1017	321158	4	0	0	0	0	0
1018	0	1401	0.32358	1	43	1	2
1019	0	1206	0.17443	60	23	0	2
1020	0	703	0.03076	60	37	0	2
1021	0	1409	0.0346	1	43	1	2
1022	321159	4	0	0	0	0	0
1023	0	1401	0.21835	1	43	1	2
1024	0	1206	0.27368	60	23	0	2
1025	0	1403	0.03853	1	43	1	2
1026	0	1409	0.06418	1	43	1	2
1027	322075	0	0	0	0	0	0
1028	322076	0	0	0	0	0	0
1029	322077	0	0	0	0	0	0
1030	322078	0	0	0	0	0	0
1031	322079	0	0	0	0	0	0
1032	322080	0	0	0	0	0	0
1033	322081	0	0	0	0	0	0
1034	322082	0	0	0	0	0	0
1035	322083	1	0	0	0	0	0
1036	0	1208	0.06009	60	0	0	0
1037	322084	5	0	0	0	0	0
1038	0	1208	0.07773	60	37	0	2
1039	0	1401	0.17614	1	43	1	2
1040	0	1206	0.14668	60	23	0	2
1041	0	1403	0.03517	1	43	1	2
1042	0	1409	0.02117	1	43	1	2
1043	322085	4	0	0	0	0	0
1044	0	1401	0.24762	1	43	1	2
1045	0	1206	0.24156	60	23	0	2
1046	0	1403	0.04662	1	43	1	2
1047	0	1409	0.0357	1	43	1	2
1048	322086	5	0	0	0	0	0
1049	0	1208	0.01198	60	0	0	0
1050	0	1401	0.09284	1	43	1	2
1051	0	1206	0.16766	60	0	0	0
1052	0	1403	0.0436	1	43	1	2
1053	0	1409	0.02569	1	43	1	2
1054	323002	0	0	0	0	0	0
1055	323003	0	0	0	0	0	0
1056	323004	0	0	0	0	0	0
1057	323005	0	0	0	0	0	0
1058	323006	0	0	0	0	0	0
1059	323007	0	0	0	0	0	0
1060	323008	0	0	0	0	0	0
1061	323009	0	0	0	0	0	0
1062	323010	2	0	0	0	0	0
1063	0	1208	0.01228	60	0	0	0
1064	0	1206	0.01587	60	0	0	0
1065	323011	0	0	0	0	0	0
1066	323012	0	0	0	0	0	0
1067	323929	0	0	0	0	0	0
1068	323930	0	0	0	0	0	0
1069	323931	0	0	0	0	0	0
1070	323932	0	0	0	0	0	0
1071	323933	0	0	0	0	0	0
1072	323934	0	0	0	0	0	0
1073	323935	0	0	0	0	0	0
1074	323936	0	0	0	0	0	0
1075	323937	2	0	0	0	0	0
1076	0	1206	0.02496	60	0	0	0
1077	0	703	0.014	60	37	0	1
1078	323938	0	0	0	0	0	0
1079	324857	0	0	0	0	0	0
1080	324858	0	0	0	0	0	0
1081	324859	0	0	0	0	0	0
1082	324860	0	0	0	0	0	0
1083	324861	0	0	0	0	0	0
1084	324862	0	0	0	0	0	0
1085	324863	0	0	0	0	0	0
1086	324864	0	0	0	0	0	0
1087	324865	0	0	0	0	0	0
1088	325786	0	0	0	0	0	0
1089	325787	0	0	0	0	0	0
