run_cell	gridcel	lat	lon	avg_t	annual_p	july_temp
1	318367	46.46875	-121.09375	2.9975	966.013	14.0877
1	318368	46.46875	-121.03125	2.9975	966.013	16.201
1	318369	46.46875	-120.96875	6.7116	537.507	17.8738
1	318370	46.46875	-120.90625	6.7116	537.507	18.8083
1	318371	46.46875	-120.84375	9.2833	250.074	19.6311
1	318372	46.46875	-120.78125	9.2833	250.074	20.3049
1	318373	46.46875	-120.71875	10.0815	208.675	20.8446
1	318374	46.46875	-120.65625	10.0815	208.675	21.25
1	318375	46.46875	-120.59375	10.7054	195.223	21.8315
1	318376	46.46875	-120.53125	10.7054	195.223	22.2377
1	318377	46.46875	-120.46875	11.3482	192.923	22.5602
1	318378	46.46875	-120.40625	11.3482	192.923	22.5287
1	318379	46.46875	-120.34375	10.9047	185.332	22.1774
1	318380	46.46875	-120.28125	10.9047	185.332	21.4105
1	318381	46.46875	-120.21875	9.9456	186.315	20.7346
1	318382	46.46875	-120.15625	9.9456	186.315	20.3983
1	318383	46.46875	-120.09375	9.3231	202.453	20.2733
1	318384	46.46875	-120.03125	9.3231	202.453	20.1653
1	318385	46.46875	-119.96875	8.9713	235.017	20.2312
1	318386	46.46875	-119.90625	8.9713	235.017	20.2346
1	319294	46.53125	-121.15625	2.2967	966.045	12.9071
1	319295	46.53125	-121.09375	2.8608	940.577	13.8865
1	319296	46.53125	-121.03125	2.8608	940.577	15.5639
1	319297	46.53125	-120.96875	5.5071	752.837	16.8982
1	319298	46.53125	-120.90625	5.5071	752.837	17.8865
1	319299	46.53125	-120.84375	7.5051	449.381	18.7598
1	319300	46.53125	-120.78125	7.5051	449.381	19.5395
1	319301	46.53125	-120.71875	8.9086	284.783	20.126
1	319302	46.53125	-120.65625	8.9086	284.783	20.7299
1	319303	46.53125	-120.59375	9.3686	211.452	21.0318
1	319304	46.53125	-120.53125	9.3686	211.452	21.4401
1	319305	46.53125	-120.46875	9.8897	196.912	22.0702
1	319306	46.53125	-120.40625	9.8897	196.912	21.7299
1	319307	46.53125	-120.34375	9.2581	196.518	21.5708
1	319308	46.53125	-120.28125	9.2581	196.518	20.8925
1	319309	46.53125	-120.21875	8.0156	214.163	20.4022
1	319310	46.53125	-120.15625	8.0156	214.163	19.8626
1	319311	46.53125	-120.09375	7.7449	241.426	19.6861
1	319312	46.53125	-120.03125	7.7449	241.426	20.0042
1	319313	46.53125	-119.96875	9.2082	245.166	20.6586
1	319314	46.53125	-119.90625	9.2082	245.166	21.1962
1	320227	46.59375	-120.84375	7.5051	449.381	17.4466
1	320228	46.59375	-120.78125	7.5051	449.381	18.9146
1	320229	46.59375	-120.71875	8.9086	284.783	20.0206
1	320230	46.59375	-120.65625	8.9086	284.783	20.9317
1	320231	46.59375	-120.59375	9.3686	211.452	21.5784
1	320232	46.59375	-120.53125	9.3686	211.452	22.0585
1	320233	46.59375	-120.46875	9.8897	196.912	22.2136
1	320234	46.59375	-120.40625	9.8897	196.912	21.5721
1	320235	46.59375	-120.34375	9.2581	196.518	20.5091
1	320236	46.59375	-120.28125	9.2581	196.518	19.5559
1	320237	46.59375	-120.21875	8.0156	214.163	19.1954
1	320238	46.59375	-120.15625	8.0156	214.163	19.1112
1	320240	46.59375	-120.03125	7.7449	241.426	18.9356
1	320241	46.59375	-119.96875	9.2082	245.166	19.715
1	320242	46.59375	-119.90625	9.2082	245.166	20.9768
1	313755	46.15625	-119.34375	11.1888	209.125	23.1355
1	313756	46.15625	-119.28125	11.1888	209.125	23.0967
1	314675	46.21875	-119.84375	10.2915	216.715	22.4131
1	314676	46.21875	-119.78125	10.2915	216.715	22.3588
1	314677	46.21875	-119.71875	10.2192	215.975	22.2114
1	314681	46.21875	-119.46875	10.3629	231.096	22.8867
1	314682	46.21875	-119.40625	10.3629	231.096	22.7958
1	314683	46.21875	-119.34375	11.1888	209.125	22.7829
1	314684	46.21875	-119.28125	11.1888	209.125	23.0467
1	315603	46.28125	-119.84375	9.998	213.285	21.8769
1	315604	46.28125	-119.78125	9.998	213.285	21.7011
1	315605	46.28125	-119.71875	9.7497	209.709	21.8088
1	315606	46.28125	-119.65625	9.7497	209.709	22.0842
1	315607	46.28125	-119.59375	10.2886	207.101	22.5234
1	315608	46.28125	-119.53125	10.2886	207.101	22.6954
1	315609	46.28125	-119.46875	11.499	187.233	22.9379
1	315610	46.28125	-119.40625	11.499	187.233	22.8891
1	315611	46.28125	-119.34375	12.1562	182.289	23.1151
1	316531	46.34375	-119.84375	9.998	213.285	21.4323
1	316532	46.34375	-119.78125	9.998	213.285	21.321
1	316533	46.34375	-119.71875	9.7497	209.709	21.2434
1	316534	46.34375	-119.65625	9.7497	209.709	21.6642
1	316535	46.34375	-119.59375	10.2886	207.101	22.2942
1	316536	46.34375	-119.53125	10.2886	207.101	22.6112
1	316537	46.34375	-119.46875	11.499	187.233	22.8662
1	316538	46.34375	-119.40625	11.499	187.233	23.1707
1	316539	46.34375	-119.34375	12.1562	182.289	23.2564
1	317459	46.40625	-119.84375	8.6348	261.167	20.4184
1	317460	46.40625	-119.78125	8.6348	261.167	20.0029
1	317461	46.40625	-119.71875	9.1055	266.105	20.4742
1	317462	46.40625	-119.65625	9.1055	266.105	20.6147
1	317463	46.40625	-119.59375	10.4975	208.068	21.35
1	317464	46.40625	-119.53125	10.4975	208.068	22.5928
1	317465	46.40625	-119.46875	11.6605	181.474	22.8818
1	317466	46.40625	-119.40625	11.6605	181.474	23.0486
1	318387	46.46875	-119.84375	8.6348	261.167	20.4813
1	318388	46.46875	-119.78125	8.6348	261.167	21.6004
1	318389	46.46875	-119.71875	9.1055	266.105	22.4079
1	318390	46.46875	-119.65625	9.1055	266.105	22.6889
1	318391	46.46875	-119.59375	10.4975	208.068	22.9334
1	318392	46.46875	-119.53125	10.4975	208.068	23.0868
1	318393	46.46875	-119.46875	11.6605	181.474	23.0171
1	318394	46.46875	-119.40625	11.6605	181.474	22.9799
1	319315	46.53125	-119.84375	10.7238	194.207	22.029
1	319316	46.53125	-119.78125	10.7238	194.207	22.3714
1	319317	46.53125	-119.71875	11.6453	181.414	22.6822
1	319318	46.53125	-119.65625	11.6453	181.414	22.9748
1	319319	46.53125	-119.59375	11.6306	178.663	22.8261
1	319320	46.53125	-119.53125	11.6306	178.663	22.7887
1	320243	46.59375	-119.84375	10.7238	194.207	22.313
1	320244	46.59375	-119.78125	10.7238	194.207	22.7532
1	311875	46.03125	-120.84375	3.5863	787.975	15.1895
1	311876	46.03125	-120.78125	3.5863	787.975	16.3779
1	311877	46.03125	-120.71875	6.4907	495.7	17.8474
1	311878	46.03125	-120.65625	6.4907	495.7	18.5623
1	311879	46.03125	-120.59375	7.7054	388.942	18.817
1	311880	46.03125	-120.53125	7.7054	388.942	18.3795
1	311881	46.03125	-120.46875	6.8559	396.254	17.9849
1	311882	46.03125	-120.40625	6.8559	396.254	18.2615
1	325792	46.96875	-121.03125	5.0033	990.595	15.6726
1	325793	46.96875	-120.96875	3.2302	1066.58	13.182
1	326718	47.03125	-121.15625	3.9097	1189.9	15.4629
1	326719	47.03125	-121.09375	2.4231	1303.9399	15.1541
1	327643	47.09375	-121.34375	3.445	1422.66	13.8296
1	327644	47.09375	-121.28125	3.445	1422.66	14.1895
1	327645	47.09375	-121.21875	3.9097	1189.9	14.2286
1	327646	47.09375	-121.15625	3.9097	1189.9	13.1222
1	318363	46.46875	-121.34375	2.2932	1282.97	13.2555
1	318364	46.46875	-121.28125	2.2932	1282.97	13.6315
1	319290	46.53125	-121.40625	2.0539	1925.91	12.1838
1	319291	46.53125	-121.34375	2.6386	1182.74	12.4628
1	319292	46.53125	-121.28125	2.6386	1182.74	13.6638
1	319293	46.53125	-121.21875	2.2967	966.045	13.1303
1	320219	46.59375	-121.34375	2.6386	1182.74	13.4084
1	320220	46.59375	-121.28125	2.6386	1182.74	13.7759
1	320221	46.59375	-121.21875	2.2967	966.045	14.9503
1	320222	46.59375	-121.15625	2.2967	966.045	14.9407
1	320223	46.59375	-121.09375	2.8608	940.577	14.357
1	320224	46.59375	-121.03125	2.8608	940.577	14.5431
