YEAR	PERIOD	GCM	RCP	PREC	Tavg	CO2	Proration	Corn	SpringWheat	WinterWheat	Alfalfa	1101	Apple	1403	1409	Potatoes	GrapeJuice	Grape
2079	2060-2090	CanESM2	RCP_8.5	700.7871324	14.15714323	749.80466	0.7	8.998420769	3.278836667	6.789631053	13.60468889	24.71466208	6.839249545	5.125996829	9.99802125	8.682381	5.150577429	3.75
2080	2060-2090	CanESM2	RCP_8.5	797.7839811	14.2706729	758.1823	0.70043716	8.717794872	3.331025	7.043468684	16.32459556	27.36954917	7.104565227	5.205557805	10.20387958	8.786015	5.468643143	3.75
2081	2060-2090	CanESM2	RCP_8.5	551.5294118	13.87622876	766.64451	0.6984153	8.529222821	3.328064583	6.884174737	14.99887986	25.10943417	6.476354886	5.099629024	9.174027917	7.711349	5.342857143	3.75
2082	2060-2090	CanESM2	RCP_8.5	521.2756303	14.2859783	775.17446	0.7	8.717794872	3.331025	7.043468684	16.32459556	27.36954917	7.104565227	5.205557805	10.20387958	8.786015	5.468643143	3.75
2083	2060-2090	CanESM2	RCP_8.5	586.5820378	14.04745341	783.75141	0.22071038	4.950284103	3.066770833	5.261818684	11.145605	15.95624667	2.785738636	1.962916341	3.960902083	2.795208	3.880276857	2.875
2084	2060-2090	CanESM2	RCP_8.5	797.8441176	14.21175437	792.36578	0.17901639	4.668073077	3.028509583	5.121072895	10.93999694	15.70232333	2.771933864	1.929685122	3.924194167	2.777156	3.817416571	2.861111111
2085	2060-2090	CanESM2	RCP_8.5	588.6267332	13.89154043	801.0188	0.05	4.522451538	2.984723333	4.979477632	10.63860028	14.87170708	2.747333636	1.850556341	3.892920833	2.749537	3.406056286	2.722222222
2086	2060-2090	CanESM2	RCP_8.5	636.851208	13.9074398	809.71464	0.61775956	8.240302821	3.324539167	6.629866579	13.90022722	23.10064958	5.641618295	4.884790976	8.0425075	6.726673	5.201428571	3.736111111
2087	2060-2090	CanESM2	RCP_8.5	729.9548845	13.98040325	818.42214	0.36885246	6.207563846	3.203715417	5.768340263	11.07212208	16.89521167	2.962390114	2.249695854	4.156499583	3.042108	4.006089429	3.055555556
2088	2060-2090	CanESM2	RCP_8.5	756.6125525	14.27117185	827.15719	0.05	4.522451538	2.984723333	4.979477632	10.63860028	14.87170708	2.747333636	1.850556341	3.892920833	2.749537	3.406056286	2.722222222
2089	2060-2090	CanESM2	RCP_8.5	681.1534139	14.37756921	835.95594	0.10355191	4.54000359	3.000508333	5.025862105	10.78209986	15.368215	2.76030375	1.869974878	3.9065325	2.762715	3.548965143	2.736111111
2030	2030-2060	GFDL-ESM2G	RCP_4.5	793.5683824	9.246430557	435.04594	0.6612022	8.266461795	3.428352083	7.174745	14.94229153	25.727785	6.430414659	5.103974634	8.923365417	7.409253	5.311428571	3.75
2031	2030-2060	GFDL-ESM2G	RCP_4.5	651.5277311	9.060637303	437.58886	0.7079781	8.48262359	3.43150625	7.287493947	16.27162111	28.15072333	7.071105	5.221307805	9.932222917	8.467615	5.380203429	3.75
2032	2030-2060	GFDL-ESM2G	RCP_4.5	1152.199947	8.734657523	440.13137	0.6995082	8.266461795	3.428352083	7.174745	14.94229153	25.727785	6.430414659	5.103974634	8.923365417	7.409253	5.311428571	3.75
2033	2030-2060	GFDL-ESM2G	RCP_4.5	1050.598477	9.497842293	442.66419	0.7761749	8.615433333	3.435139583	7.365054474	17.91191931	30.53623417	7.502400455	5.231707317	10.80910167	9.620352	5.332521714	3.75
2034	2030-2060	GFDL-ESM2G	RCP_4.5	846.5003676	9.679474042	445.20699	0.7056284	8.48262359	3.43150625	7.287493947	16.27162111	28.15072333	7.071105	5.221307805	9.932222917	8.467615	5.380203429	3.75
2035	2030-2060	GFDL-ESM2G	RCP_4.5	967.7067227	9.472016836	447.76978	1	8.701580769	3.450169167	7.395234211	27.81262681	39.40816625	7.880076364	5.231707317	11.693975	12.706726	5.323684	3.547805556
2036	2030-2060	GFDL-ESM2G	RCP_4.5	561.8636029	10.03707957	450.35539	0.9047541	8.689207692	3.4441275	7.388812105	24.92709986	36.952485	7.876582273	5.231707317	11.68630042	12.313742	5.379206857	3.727324815
2037	2030-2060	GFDL-ESM2G	RCP_4.5	737.1764181	10.0398536	452.96337	0.7351366	8.48262359	3.43150625	7.287493947	16.27162111	28.15072333	7.071105	5.221307805	9.932222917	8.467615	5.380203429	3.75
2038	2030-2060	GFDL-ESM2G	RCP_4.5	797.7689076	8.782325371	455.58649	0.7456284	8.48262359	3.43150625	7.287493947	16.27162111	28.15072333	7.071105	5.221307805	9.932222917	8.467615	5.380203429	3.75
2039	2030-2060	GFDL-ESM2G	RCP_4.5	765.6128151	8.849282693	458.2152	0.7898907	8.615433333	3.435139583	7.365054474	17.91191931	30.53623417	7.502400455	5.231707317	10.80910167	9.620352	5.332521714	3.75
2040	2030-2060	GFDL-ESM2G	RCP_4.5	878.6136555	8.801240787	460.84499	0.7103825	8.226294872	3.60810875	7.424476053	14.86732208	25.8494	7.001888523	5.163870488	10.13949083	8.014104	5.347157143	3.75
2041	2030-2060	GFDL-ESM2G	RCP_4.5	1080.726366	8.949891648	463.47549	1	8.427385897	3.62793125	7.452384474	27.37082458	39.76425833	7.903430114	5.231707317	11.73485292	12.525709	5.256741429	3.453466296
2042	2030-2060	GFDL-ESM2G	RCP_4.5	831.1929097	9.153762663	466.09336	1	8.427385897	3.62793125	7.452384474	27.37082458	39.76425833	7.903430114	5.231707317	11.73485292	12.525709	5.256741429	3.453466296
2043	2030-2060	GFDL-ESM2G	RCP_4.5	665.8047269	9.002257598	468.67807	0.9346448	8.414914872	3.621105833	7.445789737	23.40330667	36.60576458	7.889831932	5.231707317	11.7101925	12.080165	5.396020571	3.75
2044	2030-2060	GFDL-ESM2G	RCP_4.5	585.3610819	9.334743967	471.23389	1	8.427385897	3.62793125	7.452384474	27.37082458	39.76425833	7.903430114	5.231707317	11.73485292	12.525709	5.256741429	3.453466296
2045	2030-2060	GFDL-ESM2G	RCP_4.5	757.8636555	9.20747479	473.78031	0.9991257	8.421365897	3.625157917	7.449019474	26.63372792	39.5170575	7.902527614	5.231707317	11.73314792	12.395014	5.315073429	3.455823333
2046	2030-2060	GFDL-ESM2G	RCP_4.5	632.5026786	9.198587458	476.32819	0.6766667	8.025726923	3.6038575	7.375552105	13.61215792	23.26927708	6.312117159	4.894106098	8.994021667	6.963167	5.374285714	3.747617407
2047	2030-2060	GFDL-ESM2G	RCP_4.5	720.3969013	8.45520994	478.88085	0.9803279	8.421365897	3.625157917	7.449019474	26.63372792	39.5170575	7.902527614	5.231707317	11.73314792	12.395014	5.315073429	3.455823333
2048	2030-2060	GFDL-ESM2G	RCP_4.5	618.5593487	9.304497578	481.43826	0.7452459	8.226294872	3.60810875	7.424476053	14.86732208	25.8494	7.001888523	5.163870488	10.13949083	8.014104	5.347157143	3.75
2049	2030-2060	GFDL-ESM2G	RCP_4.5	732.8070378	10.60713877	483.99308	0.7164481	8.226294872	3.60810875	7.424476053	14.86732208	25.8494	7.001888523	5.163870488	10.13949083	8.014104	5.347157143	3.75
2050	2030-2060	GFDL-ESM2G	RCP_4.5	455.1059874	10.10704645	486.53532	0.7	8.05014359	3.097265	7.060832368	16.54070903	27.15948917	7.037338409	5.147001951	10.1608675	8.060226	5.390101429	3.75
2051	2030-2060	GFDL-ESM2G	RCP_4.5	707.198687	10.68036103	489.06035	0.7061202	8.05014359	3.097265	7.060832368	16.54070903	27.15948917	7.037338409	5.147001951	10.1608675	8.060226	5.390101429	3.75
2052	2030-2060	GFDL-ESM2G	RCP_4.5	670.9695378	10.16291644	491.53558	0.6985792	7.856362821	3.094110833	6.799447105	15.18031889	24.58370917	6.344918409	4.881934878	9.0519775	7.074379	5.405714286	3.736111111
2053	2030-2060	GFDL-ESM2G	RCP_4.5	429.4258403	10.27347888	493.93186	0.3950273	5.448069231	2.89338125	5.053708158	10.53639111	15.32601083	2.743144659	1.385829268	3.86777625	2.862897	3.721190286	2.75
2054	2030-2060	GFDL-ESM2G	RCP_4.5	822.5327206	11.0366984	496.24365	0.5813115	7.213251538	3.075682917	5.970910789	12.95884278	20.73668958	4.371394545	3.752626585	6.324531667	5.384253	4.384285714	3.569444444
2055	2030-2060	GFDL-ESM2G	RCP_4.5	936.7025735	11.4895242	498.47436	0.1301093	3.79960641	2.640775833	4.431781579	9.193288889	13.40418208	2.586965114	1.036667073	3.672165	2.544822	3.063729143	2.541666667
2056	2030-2060	GFDL-ESM2G	RCP_4.5	789.7117647	10.58005318	500.64502	0.6879235	7.856362821	3.094110833	6.799447105	15.18031889	24.58370917	6.344918409	4.881934878	9.0519775	7.074379	5.405714286	3.736111111
2057	2030-2060	GFDL-ESM2G	RCP_4.5	491.2944853	10.97950507	502.76788	0.8766667	8.219280256	3.106530833	7.232555789	23.6931925	33.95167083	7.844388068	5.231707317	11.61062833	10.992547	5.402535714	3.75
2058	2030-2060	GFDL-ESM2G	RCP_4.5	893.3289916	10.54226422	504.84729	0.6998361	7.856362821	3.094110833	6.799447105	15.18031889	24.58370917	6.344918409	4.881934878	9.0519775	7.074379	5.405714286	3.736111111
2059	2030-2060	GFDL-ESM2G	RCP_4.5	848.2349265	10.38713025	506.88408	0.6557377	7.856362821	3.094110833	6.799447105	15.18031889	24.58370917	6.344918409	4.881934878	9.0519775	7.074379	5.405714286	3.736111111
2060	2060-2090	GFDL-ESM2G	RCP_4.5	654.8902311	10.79439575	508.87135	0.6993443	7.216800769	3.105761667	6.441981842	15.92555361	24.91498042	6.353465227	4.790998293	9.114027917	6.364071	5.5	3.75
2061	2060-2090	GFDL-ESM2G	RCP_4.5	795.603834	10.2983035	510.79905	0.6988525	7.216800769	3.105761667	6.441981842	15.92555361	24.91498042	6.353465227	4.790998293	9.114027917	6.364071	5.5	3.75
2062	2060-2090	GFDL-ESM2G	RCP_4.5	799.3295693	10.46485196	512.64717	0.7	7.385183077	3.109137083	6.549462368	17.4162875	27.59348917	7.088435227	5.050660976	10.35278458	7.28064	5.494894286	3.75
2063	2060-2090	GFDL-ESM2G	RCP_4.5	838.372479	9.517425348	514.40151	0.7	7.385183077	3.109137083	6.549462368	17.4162875	27.59348917	7.088435227	5.050660976	10.35278458	7.28064	5.494894286	3.75
2064	2060-2090	GFDL-ESM2G	RCP_4.5	778.8021008	8.764600754	516.06461	0.8668306	7.540375897	3.1186125	6.583711316	25.12834861	34.78839333	7.900683864	5.231707317	11.74854875	10.212809	5.366726571	3.75
2065	2060-2090	GFDL-ESM2G	RCP_4.5	889.4652836	9.772835156	517.62854	1	7.560425897	3.128115833	6.591858684	31.99810681	38.20411375	7.910717386	5.231707317	11.7597475	11.262934	5.269880857	3.556920741
2066	2060-2090	GFDL-ESM2G	RCP_4.5	1019.833666	10.69971806	519.09606	0.7	7.385183077	3.109137083	6.549462368	17.4162875	27.59348917	7.088435227	5.050660976	10.35278458	7.28064	5.494894286	3.75
2067	2060-2090	GFDL-ESM2G	RCP_4.5	629.953729	10.2725975	520.48828	0.7	7.385183077	3.109137083	6.549462368	17.4162875	27.59348917	7.088435227	5.050660976	10.35278458	7.28064	5.494894286	3.75
2068	2060-2090	GFDL-ESM2G	RCP_4.5	548.2183298	10.72438355	521.81772	0.9201093	7.547943846	3.12177875	6.587855263	27.75900278	36.84482333	7.910509659	5.231707317	11.75950625	10.853322	5.368661714	3.75
2069	2060-2090	GFDL-ESM2G	RCP_4.5	894.4757878	10.86652984	523.08871	0.7087978	7.385183077	3.109137083	6.549462368	17.4162875	27.59348917	7.088435227	5.050660976	10.35278458	7.28064	5.494894286	3.75
2070	2060-2090	GFDL-ESM2G	RCP_4.5	810.7253151	10.96687821	524.30217	0.7087978	7.844528718	3.155455	6.610555	17.17544069	27.261315	6.849231477	5.126493415	9.8923575	8.054085	5.423705714	3.75
2071	2060-2090	GFDL-ESM2G	RCP_4.5	626.2516282	11.02873506	525.45089	0.7230055	7.844528718	3.155455	6.610555	17.17544069	27.261315	6.849231477	5.126493415	9.8923575	8.054085	5.423705714	3.75
2072	2060-2090	GFDL-ESM2G	RCP_4.5	645.7488445	10.5244359	526.50901	0.6996721	7.701340769	3.152757083	6.436364737	15.75056667	24.95336417	6.163848864	4.911426098	8.767349583	7.069155	5.405714286	3.75
2073	2060-2090	GFDL-ESM2G	RCP_4.5	741.5650735	9.950208847	527.45707	0.7426776	7.844528718	3.155455	6.610555	17.17544069	27.261315	6.849231477	5.126493415	9.8923575	8.054085	5.423705714	3.75
2074	2060-2090	GFDL-ESM2G	RCP_4.5	811.6271008	10.4886681	528.29593	0.2214208	4.397438974	2.851516667	4.055090789	9.941387917	13.34823667	2.451511932	1.297289756	3.480645833	2.623613	3.52	2.652777778
2075	2060-2090	GFDL-ESM2G	RCP_4.5	617.351208	10.7203612	529.02718	0.7004918	7.844528718	3.155455	6.610555	17.17544069	27.261315	6.849231477	5.126493415	9.8923575	8.054085	5.423705714	3.75
2076	2060-2090	GFDL-ESM2G	RCP_4.5	623.881355	10.057507	529.64253	0.718306	7.844528718	3.155455	6.610555	17.17544069	27.261315	6.849231477	5.126493415	9.8923575	8.054085	5.423705714	3.75
2077	2060-2090	GFDL-ESM2G	RCP_4.5	704.8791492	9.669074652	530.14419	0.6748634	7.701340769	3.152757083	6.436364737	15.75056667	24.95336417	6.163848864	4.911426098	8.767349583	7.069155	5.405714286	3.75
2078	2060-2090	GFDL-ESM2G	RCP_4.5	586.516229	9.396938011	530.55341	0.9662842	7.989283846	3.168174583	6.666161316	30.09124694	36.51304542	7.845867386	5.231707317	11.64298333	11.708617	5.265684286	3.537425926
2079	2060-2090	GFDL-ESM2G	RCP_4.5	552.1607668	10.09074255	530.88313	0.7143716	7.844528718	3.155455	6.610555	17.17544069	27.261315	6.849231477	5.126493415	9.8923575	8.054085	5.423705714	3.75
2080	2060-2090	GFDL-ESM2G	RCP_4.5	485.135084	10.29710512	531.13797	0.6980328	7.536938462	3.153350417	6.600546579	16.577805	25.74191417	6.454451932	4.983699756	9.11347125	7.035052	5.437142857	3.75
2081	2060-2090	GFDL-ESM2G	RCP_4.5	857.2622374	10.17575852	531.31935	0.05	4.234142564	2.84359125	4.702162105	10.56825	14.27078333	2.676564205	1.390636829	3.783579167	2.62215	3.724952	2.777777778
2082	2060-2090	GFDL-ESM2G	RCP_4.5	957.5166492	10.02980235	531.48991	0.1165027	4.249001282	2.852859167	4.736938158	10.69851306	14.555295	2.682938864	1.405472927	3.798140417	2.634636	4.091154857	2.694444444
2083	2060-2090	GFDL-ESM2G	RCP_4.5	963.8413866	10.18425817	531.70213	0.924918	7.799427436	3.16725625	6.671999737	28.17140569	36.57229083	7.906987614	5.231707317	11.73899792	11.430778	5.273964857	3.75
2084	2060-2090	GFDL-ESM2G	RCP_4.5	543.9405987	9.676313284	531.94208	0.9806011	7.805568974	3.170077917	6.674091579	30.79431167	37.57142167	7.910521591	5.231707317	11.74258292	11.689877	5.24988	3.448085556
2085	2060-2090	GFDL-ESM2G	RCP_4.5	824.8290441	10.86193887	532.20472	0.7070492	7.666664103	3.156210417	6.663369211	18.08549014	27.90801667	7.108043864	5.177703659	10.22054958	8.018381	5.405834857	3.75
2086	2060-2090	GFDL-ESM2G	RCP_4.5	905.1256303	10.38946846	532.48672	0.8263388	7.779485641	3.161764167	6.667752895	22.41291375	32.12049708	7.824936136	5.231707317	11.52190417	10.029241	5.319147714	3.75
2087	2060-2090	GFDL-ESM2G	RCP_4.5	740.8515231	10.16991735	532.77553	0.7	7.666664103	3.156210417	6.663369211	18.08549014	27.90801667	7.108043864	5.177703659	10.22054958	8.018381	5.405834857	3.75
2088	2060-2090	GFDL-ESM2G	RCP_4.5	791.665021	10.57983782	533.06978	0.7601639	7.74589359	3.159017083	6.666453684	19.90404278	30.00584958	7.563541591	5.230185122	11.00382292	9.047056	5.358695714	3.75
2089	2060-2090	GFDL-ESM2G	RCP_4.5	725.9784664	10.15752242	533.38792	0.7097814	7.666664103	3.156210417	6.663369211	18.08549014	27.90801667	7.108043864	5.177703659	10.22054958	8.018381	5.405834857	3.75
2030	2030-2060	GFDL-ESM2G	RCP_8.5	748.5805672	9.955635202	448.83485	0.7	8.44364	3.536745	7.413393947	12.58921736	25.08045	7.220045	5.043507805	10.36965917	8.360267	5.343020857	3.75
2031	2030-2060	GFDL-ESM2G	RCP_8.5	706.2589286	9.978159347	452.47359	0.612076503	7.862994872	3.52847875	6.440926579	10.52744958	19.69785042	5.713325	4.228406341	8.131368333	6.354788	5.044285714	3.722222222
2032	2030-2060	GFDL-ESM2G	RCP_8.5	739.8723739	9.206363365	456.177	0.698579235	8.220836154	3.53356625	6.976131316	11.44974889	22.0937	6.536644545	4.721430976	9.305596667	7.309645	5.138571429	3.736111111
2033	2030-2060	GFDL-ESM2G	RCP_8.5	647.9291492	8.878025412	459.96398	0.81852459	8.599634615	3.543049583	7.571621842	15.94334778	31.14154917	7.842469432	5.22980878	11.53874	10.598143	5.355630286	3.75
2034	2030-2060	GFDL-ESM2G	RCP_8.5	722.904937	10.00191956	463.85181	0.650327869	8.220836154	3.53356625	6.976131316	11.44974889	22.0937	6.536644545	4.721430976	9.305596667	7.309645	5.138571429	3.736111111
2035	2030-2060	GFDL-ESM2G	RCP_8.5	804.6740021	9.93364726	467.85003	0.743715847	8.44364	3.536745	7.413393947	12.58921736	25.08045	7.220045	5.043507805	10.36965917	8.360267	5.343020857	3.75
2036	2030-2060	GFDL-ESM2G	RCP_8.5	804.2305672	9.207121705	471.96047	0.68715847	8.220836154	3.53356625	6.976131316	11.44974889	22.0937	6.536644545	4.721430976	9.305596667	7.309645	5.138571429	3.736111111
2037	2030-2060	GFDL-ESM2G	RCP_8.5	658.143645	9.071138713	476.18237	0.87704918	8.614557692	3.546207917	7.574524474	19.29035944	33.63320083	7.903641818	5.231707317	11.71028792	11.555337	5.349456286	3.75
2038	2030-2060	GFDL-ESM2G	RCP_8.5	743.4828782	9.106314867	480.50799	0.7	8.44364	3.536745	7.413393947	12.58921736	25.08045	7.220045	5.043507805	10.36965917	8.360267	5.343020857	3.75
2039	2030-2060	GFDL-ESM2G	RCP_8.5	596.561292	8.965334091	484.92724	0.759508197	8.557460256	3.53988625	7.550222632	13.94550875	28.65857	7.657615795	5.19808122	11.179115	9.501124	5.264551429	3.75
2040	2030-2060	GFDL-ESM2G	RCP_8.5	777.9322479	8.93721564	489.43545	0.753442623	8.376068462	3.441037083	7.007486316	17.11249778	29.81588792	7.386634318	5.219983659	10.87858292	9.451667	5.343765143	3.75
2041	2030-2060	GFDL-ESM2G	RCP_8.5	774.0705357	9.230329688	494.03235	0.841038251	8.434377436	3.4440275	7.038672632	19.29263708	32.09344375	7.645325341	5.231707317	11.32331667	10.500561	5.310550286	3.75
2042	2030-2060	GFDL-ESM2G	RCP_8.5	783.7179622	10.01895847	498.7297	0.7	8.231159744	3.438057083	6.835102368	15.53579514	27.307945	6.887726818	5.150030244	10.0459325	8.334993	5.37084	3.75
2043	2030-2060	GFDL-ESM2G	RCP_8.5	727.9930672	8.91686851	503.52959	0.84295082	8.434377436	3.4440275	7.038672632	19.29263708	32.09344375	7.645325341	5.231707317	11.32331667	10.500561	5.310550286	3.75
2044	2030-2060	GFDL-ESM2G	RCP_8.5	871.8379727	8.914080366	508.43266	1	8.470046154	3.456505417	7.049462105	29.32973569	39.01091625	7.903774659	5.231707317	11.75307083	12.382708	5.283446286	3.524967037
2045	2030-2060	GFDL-ESM2G	RCP_8.5	592.5842962	9.678514677	513.45614	0.926557377	8.457232821	3.44999125	7.044109211	24.53277472	36.5735825	7.883775568	5.231707317	11.75014042	11.993142	5.325921429	3.75
2046	2030-2060	GFDL-ESM2G	RCP_8.5	955.3509979	9.839270519	518.61062	0.766502732	8.376068462	3.441037083	7.007486316	17.11249778	29.81588792	7.386634318	5.219983659	10.87858292	9.451667	5.343765143	3.75
2047	2030-2060	GFDL-ESM2G	RCP_8.5	810.7934349	10.054591	523.90006	0.779672131	8.376068462	3.441037083	7.007486316	17.11249778	29.81588792	7.386634318	5.219983659	10.87858292	9.451667	5.343765143	3.75
2048	2030-2060	GFDL-ESM2G	RCP_8.5	791.2657038	10.79979158	529.32418	0.698579235	7.988562564	3.43510375	6.667202895	14.15342153	24.65829875	6.225536818	4.900819024	8.904252917	7.278001	5.353269429	3.75
2049	2030-2060	GFDL-ESM2G	RCP_8.5	827.55625	10.77773751	534.8752	0.813278689	8.434377436	3.4440275	7.038672632	19.29263708	32.09344375	7.645325341	5.231707317	11.32331667	10.500561	5.310550286	3.75
2050	2030-2060	GFDL-ESM2G	RCP_8.5	861.9780462	10.91965342	540.54279	0.9	8.040378205	3.303444583	6.734364474	24.97333681	35.62338042	7.822685341	5.231707317	11.62411292	11.378756	5.312173714	3.75
2051	2030-2060	GFDL-ESM2G	RCP_8.5	640.8258929	10.73140224	546.32201	0.7	7.899007949	3.2915725	6.647026053	15.63207903	25.95641	6.927423523	5.037213415	10.2162675	7.835594	5.313023714	3.75
2052	2030-2060	GFDL-ESM2G	RCP_8.5	940.9506828	9.918419146	552.21189	0.700601093	7.899007949	3.2915725	6.647026053	15.63207903	25.95641	6.927423523	5.037213415	10.2162675	7.835594	5.313023714	3.75
2053	2030-2060	GFDL-ESM2G	RCP_8.5	719.3848214	9.532129072	558.2122	0.85568306	8.033338205	3.30047625	6.732372632	22.68631444	33.23970625	7.777242955	5.231707317	11.55612542	10.797853	5.263652286	3.75
2054	2030-2060	GFDL-ESM2G	RCP_8.5	523.979937	10.57750452	564.31311	0.834590164	8.020031795	3.297552083	6.730543158	19.45004361	30.92051125	7.638282614	5.231707317	11.32057625	9.908576	5.278986286	3.75
2055	2030-2060	GFDL-ESM2G	RCP_8.5	778.9244748	10.59456573	570.51669	0.7	7.899007949	3.2915725	6.647026053	15.63207903	25.95641	6.927423523	5.037213415	10.2162675	7.835594	5.313023714	3.75
2056	2030-2060	GFDL-ESM2G	RCP_8.5	749.8576155	10.51457679	576.84343	0.668852459	7.738805128	3.2884525	6.486057895	14.30814361	23.13055667	6.217817273	4.750933659	9.19559375	6.874679	5.327142857	3.736111111
2057	2030-2060	GFDL-ESM2G	RCP_8.5	451.0029412	10.88948026	583.30471	0.654480874	7.738805128	3.2884525	6.486057895	14.30814361	23.13055667	6.217817273	4.750933659	9.19559375	6.874679	5.327142857	3.736111111
2058	2030-2060	GFDL-ESM2G	RCP_8.5	635.5354517	10.5371493	589.90539	0.646885246	7.46145359	3.28476	6.251708684	13.20897667	20.84986083	5.344041591	4.35454561	7.928345	6.012482	5.091428571	3.722222222
2059	2030-2060	GFDL-ESM2G	RCP_8.5	726.967542	10.57123765	596.64656	0.089071038	3.906423846	2.860105	3.986619474	9.227302083	12.75897708	2.603618523	1.117109024	3.829577083	2.557833	3.240908286	2.625
2060	2060-2090	GFDL-ESM2G	RCP_8.5	518.0386555	9.691274022	603.52045	0.536721312	6.600610769	3.23037875	5.711471842	12.73032014	20.87034083	3.394712045	3.318790732	5.060050833	4.498391	4.511529143	3.318163333
2061	2060-2090	GFDL-ESM2G	RCP_8.5	578.5797794	9.711555946	610.5165	0.735136612	7.442828974	3.252749167	6.916113947	17.10698431	28.35082292	6.961329545	5.22515	10.09729833	7.685551	5.494170571	3.75
2062	2060-2090	GFDL-ESM2G	RCP_8.5	825.0505252	10.46355851	617.60526	0.708306011	7.442828974	3.252749167	6.916113947	17.10698431	28.35082292	6.961329545	5.22515	10.09729833	7.685551	5.494170571	3.75
2063	2060-2090	GFDL-ESM2G	RCP_8.5	953.2683298	10.58739504	624.76367	0.307213115	5.145589231	3.092424167	4.691842368	11.35194444	15.04370083	2.593920568	1.836053415	3.724258333	2.62134	4.050913714	2.688754815
2064	2060-2090	GFDL-ESM2G	RCP_8.5	761.8318277	9.906629184	631.99471	0.562896175	6.900153846	3.241320833	6.132578947	13.56719528	22.37893375	4.278143295	4.310468049	6.226490417	5.171851	4.786209429	3.610207037
2065	2060-2090	GFDL-ESM2G	RCP_8.5	649.1429622	10.20927415	639.29052	1	7.560088974	3.269514167	7.018028421	29.96605903	37.31997833	7.898339659	5.231707317	11.74608417	11.311575	5.337796571	3.441613333
2066	2060-2090	GFDL-ESM2G	RCP_8.5	1007.302416	10.54738431	646.65274	0.799945355	7.508977436	3.2555375	7.002761053	18.67068556	30.24962792	7.465034432	5.231707317	10.96432083	8.689504	5.452354571	3.75
2067	2060-2090	GFDL-ESM2G	RCP_8.5	551.8003676	11.09448247	654.09843	0.999562842	7.554495128	3.266720417	7.015626842	28.94518736	37.27312417	7.897634318	5.231707317	11.7447425	11.215052	5.397412286	3.531213333
2068	2060-2090	GFDL-ESM2G	RCP_8.5	677.7180147	12.17810566	661.64491	0.778142077	7.508977436	3.2555375	7.002761053	18.67068556	30.24962792	7.465034432	5.231707317	10.96432083	8.689504	5.452354571	3.75
2069	2060-2090	GFDL-ESM2G	RCP_8.5	871.2800945	11.34230036	669.30474	0.699180328	7.326868462	3.249972917	6.700125789	15.73871833	26.34141792	6.242208523	5.100765854	8.906230417	6.745099	5.468571429	3.75
2070	2060-2090	GFDL-ESM2G	RCP_8.5	895.41875	10.59511419	677.07762	0.704590164	7.518037436	2.982862917	6.053480789	17.69427528	28.22982125	6.895884545	5.206809756	10.054005	8.075763	5.433113714	3.749934815
2071	2060-2090	GFDL-ESM2G	RCP_8.5	502.4419118	10.69190143	684.95429	0.541857924	6.572383333	2.961606667	5.406676842	12.89035042	20.0914	3.394292614	3.552067561	4.95062	4.737772	4.282196857	3.379624444
2072	2060-2090	GFDL-ESM2G	RCP_8.5	1226.304307	10.59015954	692.90196	0.956174863	7.645321026	2.995470417	6.069546316	31.02302569	37.33736208	7.883653182	5.231707317	11.73549167	11.421432	5.361039429	3.564652963
2073	2060-2090	GFDL-ESM2G	RCP_8.5	765.0324055	10.74341315	700.89416	0.701256831	7.518037436	2.982862917	6.053480789	17.69427528	28.22982125	6.895884545	5.206809756	10.054005	8.075763	5.433113714	3.749934815
2074	2060-2090	GFDL-ESM2G	RCP_8.5	604.2007353	11.49775852	708.93159	0.7	7.518037436	2.982862917	6.053480789	17.69427528	28.22982125	6.895884545	5.206809756	10.054005	8.075763	5.433113714	3.749934815
2075	2060-2090	GFDL-ESM2G	RCP_8.5	821.3200105	11.22026292	717.01548	0.702404372	7.518037436	2.982862917	6.053480789	17.69427528	28.22982125	6.895884545	5.206809756	10.054005	8.075763	5.433113714	3.749934815
2076	2060-2090	GFDL-ESM2G	RCP_8.5	771.5753151	11.87258501	725.13597	0.699672131	7.374162821	2.980309167	6.041566053	16.15985611	25.55743708	6.16520625	5.093507073	8.793658333	7.136984	5.301306857	3.743382593
2077	2060-2090	GFDL-ESM2G	RCP_8.5	530.9152836	12.07100196	733.30667	0.459125683	6.228961795	2.9440725	5.076063684	12.13055792	18.93378042	2.967548409	2.913714146	4.301930833	4.064813	4.224229429	3.025091852
2078	2060-2090	GFDL-ESM2G	RCP_8.5	570.7390231	12.64047954	741.52368	0.731038251	7.518037436	2.982862917	6.053480789	17.69427528	28.22982125	6.895884545	5.206809756	10.054005	8.075763	5.433113714	3.749934815
2079	2060-2090	GFDL-ESM2G	RCP_8.5	671.781145	12.03440411	749.80466	0.486557377	6.228961795	2.9440725	5.076063684	12.13055792	18.93378042	2.967548409	2.913714146	4.301930833	4.064813	4.224229429	3.025091852
2080	2060-2090	GFDL-ESM2G	RCP_8.5	680.2085084	11.97878872	758.1823	0.05	4.010878205	2.771958333	4.339962105	10.82335139	14.48341917	2.578994545	1.473722927	3.699145	2.47254	3.627401714	2.597222222
2081	2060-2090	GFDL-ESM2G	RCP_8.5	690.1557248	11.48459494	766.64451	0.67442623	6.934359744	3.15286625	6.314076316	16.5623525	26.14609958	6.309715227	4.81235122	9.099143333	6.534101	5.405714286	3.75
